reg no,internal,external,overall,grade
201800006,40.00,37.75,78.00,A
201800016,33.90,23,57.00,C
201800027,25.40,24.5,50.00,D
201800038,35.45,36,72.00,B
201800050,39.25,25.75,65.00,C
201800073,19.80,17.75,38.00,E
201800086,43.60,40.75,85.00,A
201800097,33.40,38.25,72.00,B
201800108,24.00,12.25,37.00,E
201800124,22.35,13.75,37.00,E
201800135,34.05,27.5,62.00,C
201800147,26.50,16.75,44.00,E
201800157,40.50,43,84.00,A
201800171,41.40,48.25,90.00,S
201800183,29.30,32.75,63.00,C
201800196,20.25,8.25,29.00,F
201800206,34.00,40.75,75.00,B
201800217,36.65,39.25,76.00,B
201800228,41.60,43.25,85.00,A
201800238,25.40,33.75,60.00,C
201800248,19.25,29,49.00,D
201800260,21.60,16.25,38.00,E
201800271,44.30,44.5,89.00,S
201800281,38.65,40.25,79.00,A
201800455,39.65,27,67.00,B
201800465,23.35,23.25,47.00,D
201800475,18.60,22,41.00,E
201800485,19.75,5.5,26.00,F
201800495,26.90,9.25,37.00,E
201800505,36.25,44,81.00,A
201800515,23.75,21.75,46.00,D
201800535,17.60,31.25,49.00,D
201800545,37.05,42,80.00,A
201800555,30.60,18.5,50.00,D
201800575,36.05,35,72.00,B
201800585,17.60,23.25,41.00,E
201800595,26.05,13,40.00,E
201800605,29.65,24.25,54.00,D
201800615,26.90,21,48.00,D
201800625,35.55,35.75,72.00,B
201800635,36.80,32.5,70.00,B
201800645,27.60,15,43.00,E
201800293,20.25,19.25,40.00,E
201800659,31.70,29.75,62.00,C
201800308,41.95,38,80.00,A
201800331,47.20,48.5,96.00,S
201800337,23.45,17.5,41.00,E
201800007,32.25,36,69.00,B
201800017,22.10,23.75,46.00,D
201800028,27.30,30.75,59.00,C
201800039,13.60,2,16.00,F
201800051,40.30,45.75,87.00,S
201800074,25.95,21.5,48.00,D
201800088,42.10,46.5,89.00,S
201800109,18.10,19.5,38.00,E
201800125,13.55,7.25,21.00,F
201800148,32.35,40.5,73.00,B
201800158,37.45,45.5,83.00,A
201800172,27.25,30,58.00,C
201800185,23.80,29.25,54.00,D
201800197,37.90,41.25,80.00,A
201800208,28.45,29.5,58.00,C
201800218,45.15,33.5,79.00,A
201800229,27.15,22.75,50.00,D
201800239,28.35,27.5,56.00,C
201800249,29.70,23.25,53.00,D
201800261,29.95,28.75,59.00,C
201800272,9.00,4.75,14.00,F
201800282,0.00,DT,0.00,DT
201800456,22.65,13.5,37.00,E
201800466,21.80,24.5,47.00,D
201800476,20.53,18.75,40.00,E
201800496,37.90,26.25,65.00,C
201800506,34.95,37.25,73.00,B
201800516,37.15,28.50,66.00,B
201800526,20.30,25.5,46.00,D
201800536,38.55,30.75,70.00,B
201800546,35.85,36.75,73.00,B
201800556,42.25,42.75,85.00,A
201800576,39.00,40.25,80.00,A
201800586,24.20,23.75,48.00,D
201800596,33.40,33.25,67.00,B
201800606,23.65,23.25,47.00,D
201800616,35.85,40.5,77.00,A
201800636,32.15,29.75,62.00,C
201800646,35.35,41.75,78.00,A
201800290,29.90,11.75,42.00,E
201800653,42.98,45,88.00,S
201800297,28.50,13,42.00,E
201800296,19.63,24.5,45.00,D
